geo_name,state_us_abbreviation,housing_unit_count_100_percent
Loving County,TX,50
Kalawao County,HI,113
King County,TX,186
Kenedy County,TX,233
Arthur County,NE,254
McPherson County,NE,283
Petroleum County,MT,324
Blaine County,NE,326
Banner County,NE,369
Borden County,TX,385
Grant County,NE,391
Logan County,NE,395
Thomas County,NE,402
Treasure County,MT,422
Loup County,NE,426
Hooker County,NE,431
Slope County,ND,436
Roberts County,TX,439
Yakutat City and Borough,AK,450
Golden Valley County,MT,476
